invoice_number,customer_name,due_date,total,balance,payment_mode,organization
INV-060944,BentallGreenOak,2025-05-10,421.21,0.0,N/A,GoFleet Corporation
INV-060943,Macay Enterprises,2025-05-10,171.84,0.0,N/A,GoFleet Corporation
INV-060941,The Grounds Guys of Oakville,2025-05-10,345.51,0.0,N/A,GoFleet Corporation
INV-060925,"Energy Transportation, LLC",2025-05-09,5303.0,0.0,N/A,GoFleet Corporation
INV-060921,OLYMPIC EXPRESS INC,2025-05-09,397.76,0.0,N/A,GoFleet Corporation
INV-060919,Robertson Landscaping,2025-05-09,118.65,0.0,N/A,GoFleet Corporation
INV-060918,Memios LLC,2025-05-09,45.32,0.0,N/A,GoFleet Corporation
INV-060916,Northern Log Hauling Ltd,2025-04-09,229.15,0.0,N/A,GoFleet Corporation
INV-060915,Simtech Solutions,2025-05-09,69.24,0.0,N/A,GoFleet Corporation
INV-060914,Kile Contr Inc,2025-05-09,27.12,0.0,N/A,GoFleet Corporation
INV-060913,J&K Hydroseeding & Mulching,2025-05-09,27.7,0.0,N/A,GoFleet Corporation
INV-060912,Ibexcomm Import Export Inc,2025-04-09,25.78,0.0,N/A,GoFleet Corporation
INV-060911,Mohawk Networks LLC,2025-04-09,123.6,0.0,N/A,GoFleet Corporation
INV-060910,Koda Resources,2025-05-09,45.0,0.0,N/A,GoFleet Corporation
INV-060909,EM Dynamics Inc,2025-04-09,57.7,0.0,N/A,GoFleet Corporation
INV-060908,SCI-US/Miami PCC,2025-05-09,105.0,0.0,N/A,GoFleet Corporation
INV-060907,Kenwell Trucking,2025-05-09,27.12,0.0,N/A,GoFleet Corporation
INV-060906,Applied Construction Solutions,2025-05-09,1178.0,0.0,N/A,GoFleet Corporation
INV-060905,Peninsula Glass Inc,2025-04-09,336.18,0.0,N/A,GoFleet Corporation
INV-060903,Granite Heavy Equipment Repair,2025-05-09,32.34,0.0,N/A,GoFleet Corporation
INV-060902,Canadian Craft Tours ltd,2025-05-09,1389.56,0.0,N/A,GoFleet Corporation
INV-060901,Dogwalks,2025-05-09,148.32,0.0,N/A,GoFleet Corporation
INV-060900,J. Carpiolin Transport,2025-05-09,92.7,0.0,N/A,GoFleet Corporation
INV-060897,WH Long Companies,2025-05-09,203.42,0.0,N/A,GoFleet Corporation
INV-060896,Architectural Millwork Design,2025-05-09,214.7,0.0,N/A,GoFleet Corporation
INV-060894,"Keyhole Technologies, LLC",2025-05-09,19.57,0.0,N/A,GoFleet Corporation
INV-060893,"Controlled Waste Systems, Inc. / CWSI",2025-04-09,679.8,0.0,N/A,GoFleet Corporation
INV-060891,Subsurface Construction,2025-05-09,917.37,0.0,N/A,GoFleet Corporation
INV-060889,Borderline Transport,2025-05-09,131.32,0.0,N/A,GoFleet Corporation
INV-059044_,Upper Canada Forestry,2025-03-31,218.5,0.0,N/A,GoFleet Corporation
INV-060874,Pioneer Resources LLC,2025-05-08,43.0,0.0,N/A,GoFleet Corporation
INV-060873,907 Electric Alaska (USD),2025-05-08,261.77,0.0,N/A,GoFleet Corporation
INV-060872,MJP logistics LLC,2025-05-08,21.63,0.0,N/A,GoFleet Corporation
INV-060869,Coast Provision,2025-05-08,71.17,0.0,N/A,GoFleet Corporation
INV-060868,Terry Mckeeman Trucking,2025-05-08,24.7,0.0,N/A,GoFleet Corporation
INV-060863,TOWNSEND DOOR & MILLWORK LTD,2025-05-08,29.92,0.0,N/A,GoFleet Corporation
